id,topic,problem,operation,answer
EX001,stoichiometry,"How many moles are in 18 g of water?",calculate,"1 mol"
EX002,stoichiometry,"How many moles are in 44 g of CO2?",calculate,"1 mol"
EX003,solutions,"Find the molarity of 2 mol NaCl in 1 L solution.",calculate,"2 M"
EX004,solutions,"Find the molarity of 0.5 mol HCl in 2 L solution.",calculate,"0.25 M"
EX005,physical_chemistry,"Find the density of an object with mass 20 g and volume 5 mL.",calculate,"4 g/mL"
EX006,gases,"Find the pressure of 1 mol gas at 273 K occupying 22.4 L using R = 0.0821.",calculate,"1 atm"
EX007,gases,"A gas has pressure 2 atm and volume 3 L. If volume becomes 6 L at constant temperature, find the new pressure.",calculate,"1 atm"
EX008,gases,"A gas has volume 2 L at 300 K. Find its volume at 600 K at constant pressure.",calculate,"4 L"
EX009,acids_bases,"Find the pH when hydrogen ion concentration is 1e-3 M.",calculate,"3"
EX010,acids_bases,"Find the pOH when hydroxide ion concentration is 1e-4 M.",calculate,"4"
EX011,acids_bases,"If pH is 5 at 25 C, find pOH.",calculate,"9"
EX012,stoichiometry,"A reaction theoretically produces 20 g product but actually produces 15 g. Find percentage yield.",calculate,"75%"
EX013,solutions,"Find the mole fraction of 2 mol A in a mixture containing 2 mol A and 3 mol B.",calculate,"0.4"
EX014,solutions,"Find the mass percentage of 10 g salt in 100 g solution.",calculate,"10%"
EX015,chemical_kinetics,"For rate = k[A], find rate when k = 2 and [A] = 3 M.",calculate,"6 M/s"
EX016,chemical_kinetics,"For rate = k[A]^2, find rate when k = 2 and [A] = 3 M.",calculate,"18 M/s"
EX017,equilibrium,"For a reaction at equilibrium, the equilibrium concentrations give Kc = 4. What does this indicate?",concept,"Products are favored"
EX018,redox,"What happens to an atom that loses electrons?",concept,"It is oxidized"
EX019,redox,"What happens to an atom that gains electrons?",concept,"It is reduced"
EX020,chemical_reactions,"Balance the equation H2 + O2 -> H2O.",balance,"2H2 + O2 -> 2H2O"
