id,topic,problem,operation,answer
EX001,mechanics,"A 5 kg object accelerates at 2 m/s^2. Find the force.",calculate,"10 N"
EX002,mechanics,"A car starts with velocity 10 m/s and accelerates at 2 m/s^2 for 5 s. Find final velocity.",calculate,"20 m/s"
EX003,kinematics,"An object starts from rest and accelerates at 4 m/s^2 for 3 s. Find displacement.",calculate,"18 m"
EX004,mechanics,"A 2 kg object moves at 5 m/s. Find its kinetic energy.",calculate,"25 J"
EX005,work_energy,"A 10 kg object is raised to a height of 5 m. Take g = 9.8 m/s^2. Find potential energy.",calculate,"490 J"
EX006,mechanics,"A 4 kg object moves at 3 m/s. Find its momentum.",calculate,"12 kg*m/s"
EX007,electricity,"A resistor has resistance 10 ohms and carries a current of 2 A. Find the voltage.",calculate,"20 V"
EX008,electricity,"A device operates at 12 V and draws 3 A. Find its power.",calculate,"36 W"
EX009,electricity,"A current of 2 A flows for 5 s. Find the charge transferred.",calculate,"10 C"
EX010,gravitation,"Two masses of 2 kg and 3 kg are separated by 2 m. Using G = 6.67e-11, find the gravitational force.",calculate,"1.0005e-10 N"
EX011,properties_of_matter,"An object has mass 500 g and volume 250 cm^3. Find its density.",calculate,"2 g/cm^3"
EX012,properties_of_matter,"A force of 100 N acts over an area of 5 m^2. Find the pressure.",calculate,"20 Pa"
EX013,waves,"A wave has frequency 50 Hz and wavelength 2 m. Find its speed.",calculate,"100 m/s"
EX014,mechanics,"A spring with spring constant 200 N/m is stretched by 0.05 m. Find the restoring force magnitude.",calculate,"10 N"
EX015,work_energy,"A constant force of 20 N moves an object 5 m in the direction of the force. Find the work done.",calculate,"100 J"
EX016,work_energy,"An object does 500 J of work in 10 s. Find its power.",calculate,"50 W"
EX017,kinematics,"A body has initial velocity 5 m/s, acceleration 3 m/s^2 and displacement 10 m. Find final velocity.",calculate,"sqrt(85) m/s"
EX018,electricity,"A 24 V battery is connected to a 6 ohm resistor. Find the current.",calculate,"4 A"
EX019,optics,"A light ray strikes a plane mirror at an angle of incidence of 30 degrees. Find the angle of reflection.",calculate,"30 degrees"
EX020,thermodynamics,"A gas has pressure 2 atm and volume 4 L. At constant temperature its volume becomes 8 L. Find the new pressure.",calculate,"1 atm"
